Code,Entity,suicide_rate,gdp_per_capita,alcohol_liters_per_year,avg_surface_temperature,sunshine_hours_year,latitude,unemployment_rate,gini_index,urban_population_pct,population_density,literacy_rate,homicide_rate,religiosity_share,one_person_households_pct,fruit_veg_consumption_kg_per_capita,meat_kg_per_capita,family_important_pct,friends_important_pct,drug_use_death_rate,overweight_prevalence_pct,median_age,life_expectancy,healthcare_expenditure_per_capita_ppp
AFG,Afghanistan,3.8290909090909087,2430.3298272727275,0.0139999999999999,12.922222227272728,3175.1,33.836266,8.842590909090909,,23.927227272727272,45.178616000000005,33.917946666666666,6.003260281818182,99.99145,0.189425072,74.57338945454545,11.686962695454548,,,1.2072727272727273,31.24919681818182,14.893590909090909,60.00665454545455,187.2994402
AGO,Angola,7.338636363636363,8522.25521818182,6.924761904761904,22.322584727272726,2341.0,-12.2923155,16.464863636363635,0.4864165,59.75545454545454,19.54765663636364,66.41195333333333,4.435410324999999,94.70417,7.166597737,85.477841,22.14764840909091,,,0.2177272727272727,25.96787181818182,16.249409090909094,56.564963636363636,176.99499727272726
ALB,Albania,5.090909090909091,11472.75185,5.16952380952381,12.835101772727272,2544.0,41.142483,15.049636363636363,0.3137345981818182,52.53786363636364,108.70328068181816,97.563246,3.830208554545455,91.4048425,8.274421193,386.9151295,43.38282140909091,99.176608,84.12741,1.1140909090909092,57.257174090909096,31.1995,77.4856409090909,599.5265072727273
AND,Andorra,11.44181818181818,61048.77963636364,11.315714285714286,5.604372313636364,,42.54133,,,89.32195454545455,160.3773690909091,,0.5830364727272728,,,,,99.3408825,92.264355,0.1345454545454545,47.902243636363636,38.834545454545456,83.4200909090909,3124.176781818182
ARE,United Arab Emirates,2.3459090909090907,76605.12954545455,2.0247619047619048,28.369418181818183,3508.7,23.905783,2.624318181818182,0.29454712,84.07309090909091,96.45779440909092,95.33333333333331,0.7304789455555556,99.677735,,193.37879345454547,60.302805000000006,,,0.545,69.32925909090909,30.120409090909092,80.98025,2822.4606227272725
ARG,Argentina,8.94,25664.94736363636,7.470000000000001,14.813022386363636,2220.3,-35.37868,10.321727272727273,,90.81868181818182,15.16147109090909,97.0,6.239446785714286,90.51979,16.240903760000002,152.7031168181818,99.3904018181818,98.99524483333332,84.94960666666667,0.0613636363636363,59.46273227272727,28.963772727272726,75.46471818181818,1637.18372
ARM,Armenia,4.535909090909091,10943.360036363636,4.672857142857143,6.795290254545455,2474.0,40.288136,15.296545454545454,0.315182819047619,63.58345454545454,104.02683045454546,99.8,2.552028128571429,98.807985,12.246223487,344.78859813636365,41.40482340909091,99.0202775,89.44456000000001,0.1004545454545454,49.77663590909091,31.628590909090914,72.78919545454545,794.5005772727272
ATG,Antigua and Barbuda,0.6736363636363637,26948.31445454545,6.5147619047619045,26.24491595454545,,17.284096,,,27.081090909090907,192.7703509090909,99.0,11.447181188235293,,,254.3227681363637,82.37793695454546,,,0.3904545454545454,55.27380818181818,30.698818181818183,76.3269090909091,1053.3014890909092
AUS,Australia,12.385454545454548,52695.583681818185,10.644285714285717,22.22258931818181,2975.4266666666667,-25.732311,5.518318181818182,0.3403828088888889,85.20931818181818,2.9107504545454543,,1.1860115395454545,66.39865,24.097283966666662,209.5367272727273,116.33932490909092,98.18684275,93.722665,4.496363636363636,60.147259545454546,35.89504545454545,81.85960454545454,3919.4457136363635
AUT,Austria,16.40909090909091,59596.48154545455,12.353809523809524,7.147321009090908,1884.0,47.585655,5.173818181818182,0.302236609,58.377545454545455,102.40392454545454,,0.7415105786363636,82.04867,35.73125,245.25081804545457,90.37992481818182,96.7193875,90.43713,2.16,44.31216227272727,40.509772727272725,80.47454090909092,4556.282422727273
AZE,Azerbaijan,2.4786363636363635,15918.566827272727,1.740952380952381,12.45476306818182,2207.4,40.28912,6.634545454545455,0.28348396,53.74272727272727,111.5547121818182,100.0,2.1693464882352944,97.085825,6.766349797,229.7121445,26.843529227272725,98.69897033333332,85.37878333333333,0.2699999999999999,55.45572863636364,28.234227272727274,69.88168181818182,400.0290764545455
BDI,Burundi,7.912272727272727,933.3670790909092,5.557619047619047,20.724440590909094,2373.4,-3.3574255,2.004227272727273,0.3647997566666667,10.915045454545456,370.3735654545454,60.537548,4.998164539999999,98.44397,6.001732704000001,143.9089510833333,2.7547647000000004,,,0.4263636363636364,12.216425909090908,15.541045454545456,56.652145454545455,50.60098318181818
BEL,Belgium,19.88136363636364,55974.90590909091,11.087142857142858,10.468650863636364,1546.0,50.637463,7.2804090909090915,0.2823851659999999,97.65595454545456,360.7431790909091,,2.24419375,64.501963,34.18125,251.2694499090909,70.74553036363636,96.55798933333334,90.5091,1.6304545454545454,50.57742409090909,39.77081818181818,80.00913636363636,4231.464377272728
BEN,Benin,7.167272727272728,2859.987013636364,5.607142857142857,27.73497336363636,2630.4666666666667,9.641216,1.3446363636363636,0.4039301079999999,43.421772727272725,89.46825581818182,35.871262,,95.357483,10.875410313333331,90.48059577272728,17.33593315909091,,,0.0254545454545454,24.03944909090909,16.764863636363636,58.42832272727273,69.04533381818182
BFA,Burkina Faso,8.708636363636364,1920.1698772727275,8.778571428571428,28.843557681818183,3209.0,12.269554,3.8981818181818175,0.39744219,24.788545454545453,60.870439181818185,29.6209225,,99.39995,6.371674697,38.33701987272728,17.165485863636363,99.152535,90.67188,0.0222727272727272,14.041663181818182,16.030954545454545,56.16564090909091,76.79993286363637
